Source,Target,Lag_hrs,Coefficient,p_value
PM25,PM25,1,0.787,0.0
PM25,PM25,2,-0.283,0.0
PM25,PM25,3,0.056,0.0
PM25,PM25,7,-0.032,0.0031
PM25,PM25,9,-0.022,0.0427
PM25,PM25,19,0.035,0.001
PM25,PM25,20,0.047,0.0
PM25,PM25,23,0.028,0.0083
PM25,PM25,24,0.039,0.0003
NO2,PM25,1,0.07,0.0
NO2,PM25,2,-0.058,0.0
NO2,PM25,6,0.023,0.031
NO2,PM25,7,0.025,0.0203
CO,PM25,1,0.303,0.0
CO,PM25,2,-0.209,0.0
CO,PM25,3,0.058,0.0
CO,PM25,4,0.054,0.0
CO,PM25,5,-0.028,0.0086
CO,PM25,11,0.022,0.0381
CO,PM25,12,0.026,0.0169
CO,PM25,23,0.032,0.0026
CO,PM25,24,0.028,0.0092
Ozone,PM25,17,0.021,0.0466
AT,PM25,1,-0.024,0.0269
AT,PM25,5,0.025,0.0224
AT,PM25,6,0.031,0.004
AT,PM25,16,0.024,0.023
AT,PM25,22,0.029,0.0077
RH,PM25,1,0.067,0.0
RH,PM25,3,0.026,0.0163
RH,PM25,6,-0.03,0.0049
RH,PM25,8,-0.03,0.006
RH,PM25,22,-0.026,0.0168
WS,PM25,2,-0.035,0.0013
SR,PM25,1,-0.035,0.0009
PM25,NO2,15,0.033,0.0021
NO2,NO2,1,0.621,0.0
NO2,NO2,2,-0.102,0.0
NO2,NO2,3,0.047,0.0
NO2,NO2,4,0.044,0.0
NO2,NO2,5,0.028,0.0081
NO2,NO2,8,0.023,0.0349
NO2,NO2,11,0.027,0.0108
NO2,NO2,19,0.029,0.0067
NO2,NO2,20,0.042,0.0001
NO2,NO2,21,0.023,0.0296
NO2,NO2,22,0.059,0.0
NO2,NO2,23,0.055,0.0
NO2,NO2,24,0.057,0.0
CO,NO2,1,0.105,0.0
CO,NO2,2,-0.043,0.0001
CO,NO2,3,-0.036,0.0009
CO,NO2,4,-0.036,0.0009
CO,NO2,11,0.028,0.0102
CO,NO2,12,0.023,0.0359
CO,NO2,21,0.027,0.0122
CO,NO2,22,0.027,0.0107
Ozone,NO2,1,-0.101,0.0
Ozone,NO2,16,-0.024,0.0236
Ozone,NO2,18,-0.023,0.0289
Ozone,NO2,20,-0.025,0.02
Ozone,NO2,21,0.028,0.0083
Ozone,NO2,24,-0.023,0.029
AT,NO2,1,-0.068,0.0
AT,NO2,2,0.025,0.0217
AT,NO2,4,0.047,0.0
AT,NO2,5,0.061,0.0
AT,NO2,6,0.045,0.0
AT,NO2,10,0.024,0.0232
AT,NO2,12,0.022,0.0411
AT,NO2,21,0.022,0.0442
