Date,PM25_Before,PM25_After,Change
2019-01-03 12:00,353.1,258.4,-94.7
2019-01-06 00:00,237.3,172.6,-64.7
2019-01-08 12:00,172.8,142.0,-30.8
2019-01-11 00:00,148.5,232.2,83.7
2019-01-13 12:00,243.7,118.7,-125.0
2019-01-16 00:00,105.8,304.6,198.8
2019-01-18 12:00,302.1,305.8,3.8
2019-01-21 15:00,267.7,70.0,-197.8
2019-01-24 18:00,122.6,75.1,-47.5
2019-01-27 06:00,88.9,107.3,18.4
2019-01-29 18:00,108.7,203.3,94.5
2019-02-01 06:00,193.6,179.7,-14.0
2019-02-04 09:00,157.4,199.6,42.2
2019-02-06 21:00,195.6,63.2,-132.4
2019-02-09 09:00,60.5,121.9,61.4
2019-02-11 21:00,135.0,190.9,56.0
2019-02-14 09:00,184.0,110.8,-73.3
2019-02-16 21:00,106.4,97.3,-9.1
2019-02-20 15:00,98.5,64.0,-34.6
2019-02-23 03:00,63.4,63.8,0.4
2019-02-25 15:00,86.0,50.4,-35.6
2019-02-28 03:00,59.6,83.5,23.9
2019-03-04 12:00,82.2,68.8,-13.4
2019-03-07 00:00,64.6,87.9,23.3
2019-03-09 12:00,73.3,64.7,-8.5
2019-03-13 06:00,49.9,100.3,50.4
2019-03-15 18:00,95.3,60.5,-34.9
2019-03-18 21:00,76.5,77.9,1.3
2019-03-21 09:00,95.8,38.6,-57.2
2019-03-25 03:00,42.0,58.4,16.4
2019-03-28 06:00,67.4,104.6,37.2
2019-03-30 18:00,98.8,51.6,-47.2
2019-04-02 06:00,48.2,82.4,34.2
2019-04-04 18:00,85.2,98.6,13.4
2019-04-07 06:00,96.1,83.2,-12.9
2019-04-10 09:00,86.6,53.2,-33.4
2019-04-13 12:00,54.6,36.9,-17.7
2019-04-16 00:00,39.3,32.3,-7.0
2019-04-18 12:00,22.1,66.0,43.9
2019-04-21 00:00,65.6,93.8,28.2
2019-04-23 12:00,89.0,66.0,-23.0
2019-04-26 15:00,68.0,52.1,-15.9
2019-04-29 18:00,54.8,90.4,35.5
2019-05-02 06:00,91.5,49.5,-42.0
2019-05-06 00:00,54.2,91.5,37.2
2019-05-08 12:00,95.3,87.2,-8.0
2019-05-11 00:00,83.4,113.7,30.3
2019-05-13 12:00,151.2,66.8,-84.4
2019-05-17 21:00,77.5,45.5,-32.0
2019-05-21 00:00,69.2,53.7,-15.5
2019-05-23 12:00,55.9,43.0,-12.9
2019-05-26 00:00,36.5,49.5,13.0
2019-05-29 18:00,54.7,73.7,19.1
2019-06-01 21:00,87.3,62.1,-25.3
2019-06-04 09:00,55.5,64.7,9.2
2019-06-08 18:00,59.5,94.8,35.3
2019-06-11 21:00,117.9,66.0,-51.9
2019-06-16 06:00,77.3,35.9,-41.4
2019-06-18 18:00,33.6,62.2,28.6
2019-06-23 03:00,52.7,23.1,-29.7
2019-06-25 15:00,24.1,55.3,31.2
2019-06-30 00:00,52.5,63.4,11.0
2019-07-03 03:00,60.5,29.6,-30.9
2019-07-05 15:00,36.7,25.4,-11.2
2019-07-08 03:00,31.0,51.4,20.4
2019-07-10 15:00,55.9,117.5,61.6
2019-07-13 03:00,114.8,80.9,-33.9
2019-07-15 15:00,74.7,35.9,-38.8
2019-07-18 18:00,34.9,54.3,19.3
2019-07-21 21:00,49.8,63.5,13.7
2019-07-25 00:00,71.7,24.5,-47.1
2019-07-28 03:00,21.9,13.1,-8.8
2019-07-31 21:00,18.6,25.2,6.5
2019-08-04 00:00,28.6,41.2,12.6
2019-08-06 12:00,37.7,30.0,-7.7
2019-08-09 00:00,28.3,10.5,-17.8
2019-08-13 09:00,12.7,29.8,17.0
2019-08-15 21:00,28.5,9.5,-19.0
2019-08-19 00:00,9.4,35.8,26.4
2019-08-21 12:00,38.0,41.9,3.9
2019-08-25 06:00,49.2,22.2,-27.0
2019-08-27 18:00,21.7,29.1,7.5
2019-08-30 06:00,26.1,41.8,15.8
2019-09-02 09:00,33.9,74.4,40.5
2019-09-04 21:00,77.3,35.8,-41.6
2019-09-09 06:00,29.0,61.8,32.7
2019-09-12 09:00,61.0,25.6,-35.4
2019-09-15 12:00,20.2,48.3,28.0
2019-09-18 00:00,51.9,19.8,-32.1
2019-09-20 12:00,19.1,27.3,8.1
2019-09-23 00:00,25.2,30.3,5.1
2019-09-25 12:00,32.2,14.3,-17.9
2019-09-30 12:00,11.0,26.0,15.0
2019-10-03 00:00,28.5,45.8,17.3
2019-10-06 03:00,36.5,50.0,13.5
2019-10-09 21:00,52.3,85.4,33.1
2019-10-13 00:00,91.5,115.3,23.8
2019-10-17 09:00,118.3,72.5,-45.7
2019-10-19 21:00,74.9,100.9,26.0
2019-10-23 15:00,86.1,134.1,47.9
2019-10-28 00:00,160.7,296.1,135.3
2019-10-31 18:00,265.7,312.9,47.3
2019-11-04 12:00,460.8,146.3,-314.5
2019-11-07 00:00,138.8,162.3,23.5
2019-11-09 12:00,161.1,207.4,46.2
2019-11-12 00:00,231.5,374.0,142.6
2019-11-15 18:00,355.6,127.1,-228.6
2019-11-18 06:00,101.7,100.2,-1.5
2019-11-20 18:00,122.8,213.5,90.6
2019-11-23 06:00,189.7,99.9,-89.8
2019-11-27 00:00,100.2,39.8,-60.4
2019-11-30 03:00,38.7,109.9,71.2
2019-12-04 12:00,128.9,255.5,126.6
2019-12-07 15:00,231.1,214.4,-16.7
2019-12-10 03:00,207.1,260.0,52.8
2019-12-12 15:00,275.2,93.6,-181.6
2019-12-16 09:00,45.4,98.5,53.1
2019-12-18 21:00,114.9,317.9,203.0
2019-12-21 09:00,343.6,175.3,-168.3
2019-12-23 21:00,163.0,235.4,72.4
2019-12-27 15:00,210.0,330.3,120.3
