Episode,Start,End,Duration_hrs,Peak_PM25,Mean_PM25,Peak_NO2,Peak_CO,Month,Month_Name
E1,2019-01-01 00:00,2019-01-01 03:00,4,472.2,452.1,29.8,4.975,1,Jan
E2,2019-01-01 20:00,2019-01-02 00:00,5,571.8,465.2,36.5,5.55,1,Jan
E3,2019-01-02 05:00,2019-01-02 08:00,4,468.8,460.0,28.2,2.933,1,Jan
E4,2019-01-02 22:00,2019-01-03 11:00,14,595.5,478.9,42.5,5.7,1,Jan
E5,2019-01-12 20:00,2019-01-13 04:00,9,547.0,407.0,59.6,7.0,1,Jan
E6,2019-01-16 20:00,2019-01-17 09:00,13,538.0,451.6,54.2,5.433,1,Jan
E7,2019-01-18 20:00,2019-01-19 00:00,5,363.5,313.8,49.7,4.333,1,Jan
E8,2019-01-19 18:00,2019-01-20 11:00,18,573.0,414.9,97.5,9.7,1,Jan
E9,2019-01-30 21:00,2019-01-31 05:00,6,394.8,342.1,50.2,5.35,1,Jan
E10,2019-02-04 21:00,2019-02-05 08:00,12,374.2,278.3,48.9,5.1,2,Feb
E11,2019-04-15 21:00,2019-04-15 23:00,3,75.5,67.2,47.1,3.3,4,Apr
E12,2019-04-20 21:00,2019-04-21 02:00,6,143.8,76.5,78.7,2.275,4,Apr
E13,2019-04-22 20:00,2019-04-23 08:00,13,130.5,102.0,98.3,3.25,4,Apr
E14,2019-04-29 20:00,2019-04-29 22:00,3,115.0,86.8,57.9,4.025,4,Apr
E15,2019-05-05 20:00,2019-05-06 01:00,6,100.8,88.7,67.0,3.7,5,May
E16,2019-05-06 19:00,2019-05-07 03:00,8,137.5,105.7,71.6,3.625,5,May
E17,2019-05-07 20:00,2019-05-08 05:00,10,162.5,119.4,65.1,5.267,5,May
E18,2019-05-08 21:00,2019-05-09 01:00,3,168.8,128.1,52.0,2.65,5,May
E19,2019-05-13 08:00,2019-05-13 10:00,3,371.5,358.0,66.9,2.175,5,May
E20,2019-05-19 21:00,2019-05-20 00:00,4,87.2,69.6,62.3,2.3,5,May
E21,2019-05-22 20:00,2019-05-22 22:00,3,68.5,61.2,64.3,3.025,5,May
E22,2019-05-29 20:00,2019-05-30 03:00,8,99.8,86.0,66.9,3.675,5,May
E23,2019-05-30 20:00,2019-05-31 00:00,5,120.2,96.9,67.7,3.625,5,May
E24,2019-05-31 20:00,2019-06-01 01:00,6,120.0,101.2,75.8,3.05,5,May
E25,2019-06-08 21:00,2019-06-09 04:00,8,125.0,115.8,68.0,3.4,6,Jun
E26,2019-06-09 21:00,2019-06-10 01:00,5,133.0,115.8,65.7,3.7,6,Jun
E27,2019-06-10 21:00,2019-06-11 01:00,5,130.0,106.4,58.4,4.95,6,Jun
E28,2019-06-14 21:00,2019-06-14 23:00,3,78.0,72.1,65.0,3.075,6,Jun
E29,2019-07-21 20:00,2019-07-22 01:00,6,69.5,53.3,22.9,3.033,7,Jul
E30,2019-08-23 21:00,2019-08-24 07:00,11,71.5,64.8,33.6,3.325,8,Aug
E31,2019-10-28 01:00,2019-10-28 03:00,3,717.2,704.2,31.2,2.55,10,Oct
E32,2019-10-28 22:00,2019-10-29 03:00,6,423.2,369.1,37.9,4.933,10,Oct
E33,2019-10-29 17:00,2019-10-30 03:00,11,341.5,290.9,72.9,5.925,10,Oct
E34,2019-10-30 19:00,2019-10-31 00:00,6,297.5,275.7,42.1,6.3,10,Oct
E35,2019-10-31 14:00,2019-11-01 11:00,22,463.0,403.1,54.0,7.7,10,Oct
E36,2019-11-02 23:00,2019-11-03 15:00,17,983.0,689.0,34.3,4.767,11,Nov
E37,2019-11-04 05:00,2019-11-04 09:00,5,610.8,575.0,33.0,3.475,11,Nov
E38,2019-11-12 04:00,2019-11-12 11:00,8,560.8,520.6,41.3,3.275,11,Nov
E39,2019-11-12 19:00,2019-11-13 03:00,7,496.0,369.8,51.3,4.775,11,Nov
E40,2019-11-13 17:00,2019-11-13 22:00,6,397.5,361.0,75.1,7.55,11,Nov
E41,2019-11-14 07:00,2019-11-14 14:00,6,423.5,399.7,77.9,2.75,11,Nov
E42,2019-11-14 18:00,2019-11-15 00:00,7,389.8,374.4,80.0,6.3,11,Nov
E43,2019-11-15 19:00,2019-11-15 22:00,4,276.8,257.6,57.2,5.325,11,Nov
E44,2019-11-20 19:00,2019-11-21 03:00,9,294.8,261.4,64.5,8.025,11,Nov
E45,2019-11-21 21:00,2019-11-21 23:00,3,264.2,250.1,50.3,6.075,11,Nov
E46,2019-12-03 21:00,2019-12-03 23:00,3,225.5,212.5,45.6,4.25,12,Dec
E47,2019-12-04 20:00,2019-12-05 10:00,13,412.5,311.7,71.4,6.7,12,Dec
E48,2019-12-07 19:00,2019-12-08 10:00,14,340.2,276.6,65.8,7.875,12,Dec
E49,2019-12-09 21:00,2019-12-10 02:00,6,277.8,257.8,45.6,4.3,12,Dec
E50,2019-12-10 22:00,2019-12-11 09:00,12,377.0,337.3,55.5,5.225,12,Dec
E51,2019-12-29 19:00,2019-12-29 22:00,4,467.0,467.0,33.8,3.45,12,Dec
E52,2019-12-30 03:00,2019-12-30 06:00,4,467.0,467.0,19.9,2.125,12,Dec
E53,2019-12-30 10:00,2019-12-30 12:00,3,467.0,467.0,34.8,2.4,12,Dec
E54,2019-12-31 19:00,2019-12-31 23:00,5,781.8,551.6,37.2,8.45,12,Dec
